"filename", "language", "JavaScript JSX", "CSS", "JavaScript", "XML", "JSON", "comment", "blank", "total"
"/home/mercury/Desktop/planttracker/frontend/src/components/scenes/Account/Subcomponents/Submissions.jsx", "JavaScript JSX", 25, 0, 0, 0, 0, 0, 2, 27
"/home/mercury/Desktop/planttracker/frontend/src/components/scenes/Account/Subcomponents/UpdateEmail.jsx", "JavaScript JSX", 101, 0, 0, 0, 0, 0, 4, 105
"/home/mercury/Desktop/planttracker/frontend/src/components/scenes/Activate/Activate.jsx", "JavaScript JSX", 33, 0, 0, 0, 0, 0, 3, 36
"/home/mercury/Desktop/planttracker/frontend/src/components/scenes/ErrorPage/ErrorPage.jsx", "JavaScript JSX", 10, 0, 0, 0, 0, 1, 2, 13
"/home/mercury/Desktop/planttracker/frontend/src/components/scenes/Explore/Explore.jsx", "JavaScript JSX", 88, 0, 0, 0, 0, 0, 5, 93
"/home/mercury/Desktop/planttracker/frontend/src/components/scenes/Hero/Hero.jsx", "JavaScript JSX", 63, 0, 0, 0, 0, 1, 7, 71
"/home/mercury/Desktop/planttracker/frontend/src/components/scenes/LocationDetail/LocationDetail.jsx", "JavaScript JSX", 145, 0, 0, 0, 0, 2, 5, 152
"/home/mercury/Desktop/planttracker/frontend/src/components/scenes/Login/Login.jsx", "JavaScript JSX", 120, 0, 0, 0, 0, 0, 11, 131
"/home/mercury/Desktop/planttracker/frontend/src/components/scenes/Login/Subcomponents/RequestReset.jsx", "JavaScript JSX", 44, 0, 0, 0, 0, 0, 2, 46
"/home/mercury/Desktop/planttracker/frontend/src/components/scenes/PlantDetail/PlantDetail.jsx", "JavaScript JSX", 116, 0, 0, 0, 0, 0, 7, 123
"/home/mercury/Desktop/planttracker/frontend/src/components/scenes/PlantList/PlantList.jsx", "JavaScript JSX", 103, 0, 0, 0, 0, 2, 5, 110
"/home/mercury/Desktop/planttracker/frontend/src/components/scenes/Register/Register.jsx", "JavaScript JSX", 117, 0, 0, 0, 0, 0, 6, 123
"/home/mercury/Desktop/planttracker/frontend/src/components/scenes/Reset/Reset.jsx", "JavaScript JSX", 95, 0, 0, 0, 0, 0, 8, 103
"/home/mercury/Desktop/planttracker/frontend/src/components/scenes/Track/Subcomponents/Map.jsx", "JavaScript JSX", 105, 0, 0, 0, 0, 1, 5, 111
"/home/mercury/Desktop/planttracker/frontend/src/components/scenes/Track/Subcomponents/Submit.jsx", "JavaScript JSX", 182, 0, 0, 0, 0, 3, 10, 195
"/home/mercury/Desktop/planttracker/frontend/src/components/scenes/Track/Track.jsx", "JavaScript JSX", 24, 0, 0, 0, 0, 0, 3, 27
"/home/mercury/Desktop/planttracker/frontend/src/constants/index.js", "JavaScript", 0, 0, 3, 0, 0, 0, 1, 4
"/home/mercury/Desktop/planttracker/frontend/src/helpers/axios.js", "JavaScript", 0, 0, 81, 0, 0, 2, 14, 97
"/home/mercury/Desktop/planttracker/frontend/src/helpers/checks.js", "JavaScript", 0, 0, 27, 0, 0, 0, 3, 30
"/home/mercury/Desktop/planttracker/frontend/src/helpers/leafletHelpers.js", "JavaScript", 0, 0, 40, 0, 0, 4, 5, 49
"/home/mercury/Desktop/planttracker/frontend/src/helpers/utils.js", "JavaScript", 0, 0, 21, 0, 0, 0, 2, 23
"/home/mercury/Desktop/planttracker/frontend/src/index.css", "CSS", 0, 147, 0, 0, 0, 0, 25, 172
"/home/mercury/Desktop/planttracker/frontend/src/main.jsx", "JavaScript JSX", 73, 0, 0, 0, 0, 0, 3, 76
"Total", "-", 2322, 147, 172, 27, 8117, 41, 219, 11045
